DATAFLOW,LAST UPDATE,freq,purchase,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG,CONF_STATUS
ESTAT:PRC_HPI_A$DEFAULTVIEW(1.0),07/04/26 11:00:00,Annual,Purchases of newly built dwellings,"Annual average index, 2015=100",Norway,2022,147.94,,
ESTAT:PRC_HPI_A$DEFAULTVIEW(1.0),07/04/26 11:00:00,Annual,Purchases of newly built dwellings,"Annual average index, 2015=100",Norway,2023,154.77,,
ESTAT:PRC_HPI_A$DEFAULTVIEW(1.0),07/04/26 11:00:00,Annual,Purchases of newly built dwellings,"Annual average index, 2015=100",Norway,2024,161.51,,
ESTAT:PRC_HPI_A$DEFAULTVIEW(1.0),07/04/26 11:00:00,Annual,Purchases of newly built dwellings,"Annual average index, 2015=100",Norway,2025,170.20,,
ESTAT:PRC_HPI_A$DEFAULTVIEW(1.0),07/04/26 11:00:00,Annual,Purchases of newly built dwellings,"Annual average index, 2015=100",Poland,2016,101.08,,
ESTAT:PRC_HPI_A$DEFAULTVIEW(1.0),07/04/26 11:00:00,Annual,Purchases of newly built dwellings,"Annual average index, 2015=100",Poland,2017,104.31,,
ESTAT:PRC_HPI_A$DEFAULTVIEW(1.0),07/04/26 11:00:00,Annual,Purchases of newly built dwellings,"Annual average index, 2015=100",Poland,2018,110.02,,
ESTAT:PRC_HPI_A$DEFAULTVIEW(1.0),07/04/26 11:00:00,Annual,Purchases of newly built dwellings,"Annual average index, 2015=100",Poland,2019,117.38,,
ESTAT:PRC_HPI_A$DEFAULTVIEW(1.0),07/04/26 11:00:00,Annual,Purchases of newly built dwellings,"Annual average index, 2015=100",Poland,2020,124.68,,
ESTAT:PRC_HPI_A$DEFAULTVIEW(1.0),07/04/26 11:00:00,Annual,Purchases of newly built dwellings,"Annual average index, 2015=100",Poland,2021,136.02,,
ESTAT:PRC_HPI_A$DEFAULTVIEW(1.0),07/04/26 11:00:00,Annual,Purchases of newly built dwellings,"Annual average index, 2015=100",Poland,2022,152.09,,
ESTAT:PRC_HPI_A$DEFAULTVIEW(1.0),07/04/26 11:00:00,Annual,Purchases of newly built dwellings,"Annual average index, 2015=100",Poland,2023,168.01,,
ESTAT:PRC_HPI_A$DEFAULTVIEW(1.0),07/04/26 11:00:00,Annual,Purchases of newly built dwellings,"Annual average index, 2015=100",Poland,2024,195.66,,
ESTAT:PRC_HPI_A$DEFAULTVIEW(1.0),07/04/26 11:00:00,Annual,Purchases of newly built dwellings,"Annual average index, 2015=100",Poland,2025,206.84,,
ESTAT:PRC_HPI_A$DEFAULTVIEW(1.0),07/04/26 11:00:00,Annual,Purchases of newly built dwellings,"Annual average index, 2015=100",Portugal,2016,103.33,,
ESTAT:PRC_HPI_A$DEFAULTVIEW(1.0),07/04/26 11:00:00,Annual,Purchases of newly built dwellings,"Annual average index, 2015=100",Portugal,2017,109.12,,
ESTAT:PRC_HPI_A$DEFAULTVIEW(1.0),07/04/26 11:00:00,Annual,Purchases of newly built dwellings,"Annual average index, 2015=100",Portugal,2018,117.30,,
ESTAT:PRC_HPI_A$DEFAULTVIEW(1.0),07/04/26 11:00:00,Annual,Purchases of newly built dwellings,"Annual average index, 2015=100",Portugal,2019,127.59,,
ESTAT:PRC_HPI_A$DEFAULTVIEW(1.0),07/04/26 11:00:00,Annual,Purchases of newly built dwellings,"Annual average index, 2015=100",Portugal,2020,137.19,,
ESTAT:PRC_HPI_A$DEFAULTVIEW(1.0),07/04/26 11:00:00,Annual,Purchases of newly built dwellings,"Annual average index, 2015=100",Portugal,2021,149.15,,
ESTAT:PRC_HPI_A$DEFAULTVIEW(1.0),07/04/26 11:00:00,Annual,Purchases of newly built dwellings,"Annual average index, 2015=100",Portugal,2022,162.06,,
ESTAT:PRC_HPI_A$DEFAULTVIEW(1.0),07/04/26 11:00:00,Annual,Purchases of newly built dwellings,"Annual average index, 2015=100",Portugal,2023,172.78,,
ESTAT:PRC_HPI_A$DEFAULTVIEW(1.0),07/04/26 11:00:00,Annual,Purchases of newly built dwellings,"Annual average index, 2015=100",Portugal,2024,185.70,,
ESTAT:PRC_HPI_A$DEFAULTVIEW(1.0),07/04/26 11:00:00,Annual,Purchases of newly built dwellings,"Annual average index, 2015=100",Portugal,2025,212.02,,
ESTAT:PRC_HPI_A$DEFAULTVIEW(1.0),07/04/26 11:00:00,Annual,Purchases of newly built dwellings,"Annual average index, 2015=100",Romania,2016,105.39,,
ESTAT:PRC_HPI_A$DEFAULTVIEW(1.0),07/04/26 11:00:00,Annual,Purchases of newly built dwellings,"Annual average index, 2015=100",Romania,2017,105.68,,
ESTAT:PRC_HPI_A$DEFAULTVIEW(1.0),07/04/26 11:00:00,Annual,Purchases of newly built dwellings,"Annual average index, 2015=100",Romania,2018,109.91,,
ESTAT:PRC_HPI_A$DEFAULTVIEW(1.0),07/04/26 11:00:00,Annual,Purchases of newly built dwellings,"Annual average index, 2015=100",Romania,2019,111.92,,
ESTAT:PRC_HPI_A$DEFAULTVIEW(1.0),07/04/26 11:00:00,Annual,Purchases of newly built dwellings,"Annual average index, 2015=100",Romania,2020,116.36,,
ESTAT:PRC_HPI_A$DEFAULTVIEW(1.0),07/04/26 11:00:00,Annual,Purchases of newly built dwellings,"Annual average index, 2015=100",Romania,2021,118.25,,
ESTAT:PRC_HPI_A$DEFAULTVIEW(1.0),07/04/26 11:00:00,Annual,Purchases of newly built dwellings,"Annual average index, 2015=100",Romania,2022,131.65,,
ESTAT:PRC_HPI_A$DEFAULTVIEW(1.0),07/04/26 11:00:00,Annual,Purchases of newly built dwellings,"Annual average index, 2015=100",Romania,2023,143.12,,
ESTAT:PRC_HPI_A$DEFAULTVIEW(1.0),07/04/26 11:00:00,Annual,Purchases of newly built dwellings,"Annual average index, 2015=100",Romania,2024,154.72,,
ESTAT:PRC_HPI_A$DEFAULTVIEW(1.0),07/04/26 11:00:00,Annual,Purchases of newly built dwellings,"Annual average index, 2015=100",Romania,2025,160.06,,
ESTAT:PRC_HPI_A$DEFAULTVIEW(1.0),07/04/26 11:00:00,Annual,Purchases of newly built dwellings,"Annual average index, 2015=100",Sweden,2016,106.20,,
ESTAT:PRC_HPI_A$DEFAULTVIEW(1.0),07/04/26 11:00:00,Annual,Purchases of newly built dwellings,"Annual average index, 2015=100",Sweden,2017,112.78,,
ESTAT:PRC_HPI_A$DEFAULTVIEW(1.0),07/04/26 11:00:00,Annual,Purchases of newly built dwellings,"Annual average index, 2015=100",Sweden,2018,123.71,,
ESTAT:PRC_HPI_A$DEFAULTVIEW(1.0),07/04/26 11:00:00,Annual,Purchases of newly built dwellings,"Annual average index, 2015=100",Sweden,2019,129.54,,
ESTAT:PRC_HPI_A$DEFAULTVIEW(1.0),07/04/26 11:00:00,Annual,Purchases of newly built dwellings,"Annual average index, 2015=100",Sweden,2020,127.56,,
ESTAT:PRC_HPI_A$DEFAULTVIEW(1.0),07/04/26 11:00:00,Annual,Purchases of newly built dwellings,"Annual average index, 2015=100",Sweden,2021,128.82,,
